isotope,energy,delta_energy,predicted_energy,delta_prediction,error_sigma
$^{133}$Ba,30.8507,0.0005,22.59062191433184,1.9469498641484102,-4.242573595638577
$^{133}$Ba,80.998,0.008,76.67121518798233,2.109542029710869,-2.051054091873534
$^{133}$Ba,160.605,0.015,156.88331379905193,2.362351578650801,-1.5754158841477806
$^{133}$Ba,302.851,0.015,300.39817868583816,2.800573647790473,-0.8758281775939026
$^{133}$Ba,356.005,0.017,360.7855549537147,2.9664874236459484,1.6115203845493493
$^{137}$Cs,32.0611,0.0005,26.901289477189053,1.9506787844167246,-2.6451359209065233
$^{137}$Cs,74.969,0.005,73.78350742105359,2.087727613131317,-0.5678387216272558
$^{137}$Cs,661.638,0.019,,,
$^{152}$Eu,39.9062,0.0005,34.01405480949639,1.974847449648841,-2.983595108346886
$^{152}$Eu,74.969,0.005,74.66663366697982,2.087727613131317,-0.14483035579850595
$^{152}$Eu,121.783,0.009,,,
$^{152}$Eu,244.697,0.012,,,
$^{152}$Eu,344.274,0.012,,,
$^{152}$Eu,778.872,0.015,,,
$^{152}$Eu,964.04,0.015,963.8551626015503,4.837520990228153,-0.03820911554141437
$^{152}$Eu,1112.085,0.02,1099.7849369558062,5.299009355236677,-2.321200477224761
$^{152}$Eu,1408.024,0.03,,,
$^{22}$Na,72.804,0.005,66.90871648930919,2.0810578243169577,-2.832830227879785
$^{22}$Na,511.006,0.01,,,
$^{22}$Na,1274.511,0.028,,,
$^{241}$Am,26.345,0.001,21.706699876307816,1.9336091135993567,-2.3987785799468657
$^{241}$Am,59.537,0.001,,,
$^{60}$Co,74.969,0.005,73.5675100227716,2.087727613131317,-0.6712992482416532
$^{60}$Co,1173.208,0.025,1171.778804210903,5.4927141713667895,-0.26019846372990074
$^{60}$Co,1332.491,0.041,1328.316209561294,6.000706287961123,-0.6957165104183797
