isotope,mean_peaks,peak_deltas,mean_widths,width_deltas,energy,delta_energy
Am241,17.055242457758325,1.0,10.949870125495437,1.0,26.345,0.001
Am241,48.94976594756557,1.0,14.093629018282533,1.0,59.537,0.001
Ba133,17.873519043128724,1.0,11.895849169798861,1.0,30.8507,0.0005
Ba133,67.93775694548249,1.0,18.821271207117427,2.0,80.998,0.008
Ba133,142.19281489559992,2.0,39.449379198088394,9.0,160.605,0.015
Ba133,275.0493888214804,4.0,35.73931647452187,18.0,302.851,0.015
Ba133,330.95202946885905,1.0,43.32442661656255,2.0,356.005,0.017
Co60,65.06455189420615,1.0,25.459020611351917,2.0,74.969,0.005
Co60,1081.715963632226,4.0,83.8873520741478,15.0,1173.208,0.025
Co60,1226.627944579327,2.0,82.0019999777281,16.0,1332.491,0.041
Cs137,21.864050088023742,1.0,13.63824343624667,1.0,32.0611,0.0005
Cs137,65.26450800561862,3.0,38.19098500410347,15.0,74.969,0.005
Cs137,614.8893057780822,1.0,61.0922928308862,1.0,661.638,0.019
Eu152,28.448577996924257,1.0,16.68253678498975,3.0,39.9062,0.0005
Eu152,66.08204789927592,1.0,22.492985373172232,9.0,74.969,0.005
Eu152,107.91063540652003,1.0,21.346147736026737,1.0,121.783,0.009
Eu152,223.3020633977752,1.0,35.958036153335634,6.0,244.697,0.012
Eu152,319.26709301139203,1.0,44.990161581348204,6.0,344.274,0.012
Eu152,718.437315859151,3.0,75.52262122648305,18.0,778.872,0.015
Eu152,889.234002378924,1.0,73.43086846133363,23.0,964.04,0.015
Eu152,1015.068800951676,1.0,89.39828960412068,27.0,1112.085,0.02
Eu152,1298.0399446662957,1.0,91.91599016725424,10.0,1408.024,0.03
Na22,58.9002810639092,2.0,37.53961016538931,5.0,72.804,0.005
Na22,468.74844651476025,1.0,54.166027441142276,1.0,511.006,0.01
Na22,1171.4351233985224,4.0,86.46215396632243,1.0,1274.511,0.028
