channel,delta_channel,fwhm,delta_fwhm,maximum,base,energy,delta_energy,r_squared,isotope
17.16572737327498,0.009928441100801069,11.66603599412609,0.0904454419678633,46166.26644964553,6.923103275318881e-20,26.345,0.001,0.9968489126232951,Am241
48.84929784269671,0.005958205240484344,13.124423443967961,0.06502784968817348,165959.48123727978,4.532420306395526e-10,59.537,0.001,0.9798333365431122,Am241
17.62055712938617,0.015213317973975196,11.118815448761376,0.1418019260477218,21483.166185198712,3.062361410607596e-13,30.8507,0.0005,0.9743759190493895,Ba133
67.81327083644746,0.03366170399622437,19.94075941523244,0.5291722822475553,9026.137479181236,1.970847428206948e-16,80.998,0.008,0.9892001419138075,Ba133
143.57844468679983,0.3360757950882547,47.847273422313734,2.3537831952209145,476.290200556337,454.397574313931,160.605,0.015,0.9477185575413948,Ba133
270.14816646444126,0.22504947520304297,52.76313113199148,0.9686124387808898,1454.095860147084,1.5213261137325921e-16,302.851,0.015,0.992047125560174,Ba133
331.85608840657716,0.0915467138455659,42.07167346793651,0.33486949948167505,3916.557301337935,1.5213261137325921e-16,356.005,0.017,0.992047125560174,Ba133
65.19365568261843,0.07598497919649756,27.25158880372948,0.7080494473614183,4165.156751664786,1891.242489612895,74.969,0.005,0.9958919587808636,Co60
1081.1478908966785,0.11113411306762623,98.48818060115316,1.927114435603992,4100.383762595002,2.225090197688487e-16,1173.208,0.025,0.993829368823839,Co60
1224.8838337379814,0.1394745207363615,97.37675987101368,1.446219541736941,3323.1422687544164,1.9578287650986643e-12,1332.491,0.041,0.9873972349282668,Co60
21.592150264071222,0.059778785874164755,13.88578755424934,0.4919518561855896,2855.2222948665626,503.6836989581881,32.0611,0.0005,0.986402215022527,Cs137
62.7935240168559,0.21174206383938826,53.026166647549346,5.710670665004153,1261.2740137921921,413.2782712834542,74.969,0.005,0.9354792603650116,Cs137
614.6679173342466,0.07828456825429828,60.20479872823397,0.8182179004116913,4253.695637552221,4.986168657102984e-14,661.638,0.019,0.9816366453921135,Cs137
28.345733990772775,0.015282036132187126,14.155783089073806,0.10186648262084237,45753.017481913776,2.7721230593050483e-16,39.9062,0.0005,0.9880142622905836,Eu152
66.24614369782776,0.06899251800709419,30.95930239072481,1.1233891679842352,10751.879956190094,1.446583267945647e-12,74.969,0.005,0.9918176286867723,Eu152
107.73190621956003,0.019710690585140935,22.207925968972848,0.23479709693657547,29745.552575052465,4.195857982989363e-12,121.783,0.009,0.9841648781262636,Eu152
223.90619019332559,0.07774476832648351,41.43644289934021,0.995012404349095,4728.3753392769195,1543.7264296652006,244.697,0.012,0.9927857654028988,Eu152
318.8012790341761,0.049167403947525654,50.98892511852748,0.5985275808867577,9578.410289115449,141.76482867740359,344.274,0.012,0.9974923859127818,Eu152
720.3119475774527,0.30343807499930076,92.68661009241598,1.874947425147725,999.0139557477964,722.3917049888383,778.872,0.015,0.9807287730970636,Eu152
888.702007136772,0.3945802610833848,95.86929207690042,6.670586242773475,701.7803491594335,436.59247099497674,964.04,0.015,0.9530753606334513,Eu152
1014.206402855028,0.2645104469629342,115.65469527014338,7.7158322487446185,1227.996258821178,78.13527268616201,1112.085,0.02,0.9658793280752332,Eu152
1298.1198339988869,0.2707290539538928,101.14370142669877,2.177328263629747,576.2503501821532,1.174011363845192e-16,1408.024,0.03,0.9804057567047142,Eu152
56.70084319172757,0.2040620352881687,42.203178225598826,4.640511702845054,1066.23604360371,565.8983080554844,72.804,0.005,0.9407578227305006,Na22
468.24533954428085,0.07429823837079176,54.636486690558264,0.8228566359423303,4243.40002198627,6.0973912722213235e-15,511.006,0.01,0.9850170471910333,Na22
1171.3053701955673,0.2714747493652456,86.80162904117573,2.543608391282006,474.80458317962683,1.9403722877804553e-13,1274.511,0.028,0.9708591029566132,Na22
